sku;categories;enabled;parent;family;description;name;url_key;category_gear;color;features_bags;gender;material;size;strap_bags;style_bags;performance_fabric;price;special_price;weight;base;small_image;thumbnail
MH01-L-Black;default_category_men_tops_hoodies_and_sweatshirts,default_category_collections_eco_friendly,default_category;1;MH01;top;"<p>Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.</p>
<p>&bull; Two-tone gray heather hoodie.<br />&bull; Drawstring-adjustable hood. <br />&bull; Machine wash/dry.</p>";Chaz Kangeroo Hoodie-L-Black;chaz-kangeroo-hoodie-l-black;;color_black;;;;size_l;;;;52;;1;/m/h/mh01-black_main.jpg;/m/h/mh01-black_main.jpg;/m/h/mh01-black_main.jpg
MH01-L-Gray;default_category_men_tops_hoodies_and_sweatshirts,default_category_collections_eco_friendly,default_category;1;MH01;top;"<p>Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.</p>
<p>&bull; Two-tone gray heather hoodie.<br />&bull; Drawstring-adjustable hood. <br />&bull; Machine wash/dry.</p>";Chaz Kangeroo Hoodie-L-Gray;chaz-kangeroo-hoodie-l-gray;;color_gray;;;;size_l;;;;52;;1;/m/h/mh01-gray_main.jpg;/m/h/mh01-gray_main.jpg;/m/h/mh01-gray_main.jpg
MH01-L-Orange;default_category_men_tops_hoodies_and_sweatshirts,default_category_collections_eco_friendly,default_category;1;MH01;top;"<p>Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.</p>
<p>&bull; Two-tone gray heather hoodie.<br />&bull; Drawstring-adjustable hood. <br />&bull; Machine wash/dry.</p>";Chaz Kangeroo Hoodie-L-Orange;chaz-kangeroo-hoodie-l-orange;;color_orange;;;;size_l;;;;52;;1;/m/h/mh01-orange_main.jpg;/m/h/mh01-orange_main.jpg;/m/h/mh01-orange_main.jpg
MH01-M-Black;default_category_men_tops_hoodies_and_sweatshirts,default_category_collections_eco_friendly,default_category;1;MH01;top;"<p>Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.</p>
<p>&bull; Two-tone gray heather hoodie.<br />&bull; Drawstring-adjustable hood. <br />&bull; Machine wash/dry.</p>";Chaz Kangeroo Hoodie-M-Black;chaz-kangeroo-hoodie-m-black;;color_black;;;;size_m;;;;52;;1;/m/h/mh01-black_main.jpg;/m/h/mh01-black_main.jpg;/m/h/mh01-black_main.jpg
MH01-M-Gray;default_category_men_tops_hoodies_and_sweatshirts,default_category_collections_eco_friendly,default_category;1;MH01;top;"<p>Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.</p>
<p>&bull; Two-tone gray heather hoodie.<br />&bull; Drawstring-adjustable hood. <br />&bull; Machine wash/dry.</p>";Chaz Kangeroo Hoodie-M-Gray;chaz-kangeroo-hoodie-m-gray;;color_gray;;;;size_m;;;;52;;1;/m/h/mh01-gray_main.jpg;/m/h/mh01-gray_main.jpg;/m/h/mh01-gray_main.jpg
MH01-M-Orange;default_category_men_tops_hoodies_and_sweatshirts,default_category_collections_eco_friendly,default_category;1;MH01;top;"<p>Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.</p>
<p>&bull; Two-tone gray heather hoodie.<br />&bull; Drawstring-adjustable hood. <br />&bull; Machine wash/dry.</p>";Chaz Kangeroo Hoodie-M-Orange;chaz-kangeroo-hoodie-m-orange;;color_orange;;;;size_m;;;;52;;1;/m/h/mh01-orange_main.jpg;/m/h/mh01-orange_main.jpg;/m/h/mh01-orange_main.jpg
MH01-S-Black;default_category_men_tops_hoodies_and_sweatshirts,default_category_collections_eco_friendly,default_category;1;MH01;top;"<p>Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.</p>
<p>&bull; Two-tone gray heather hoodie.<br />&bull; Drawstring-adjustable hood. <br />&bull; Machine wash/dry.</p>";Chaz Kangeroo Hoodie-S-Black;chaz-kangeroo-hoodie-s-black;;color_black;;;;size_s;;;;52;;1;/m/h/mh01-black_main.jpg;/m/h/mh01-black_main.jpg;/m/h/mh01-black_main.jpg
MH01-S-Gray;default_category_men_tops_hoodies_and_sweatshirts,default_category_collections_eco_friendly,default_category;1;MH01;top;"<p>Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.</p>
<p>&bull; Two-tone gray heather hoodie.<br />&bull; Drawstring-adjustable hood. <br />&bull; Machine wash/dry.</p>";Chaz Kangeroo Hoodie-S-Gray;chaz-kangeroo-hoodie-s-gray;;color_gray;;;;size_s;;;;52;;1;/m/h/mh01-gray_main.jpg;/m/h/mh01-gray_main.jpg;/m/h/mh01-gray_main.jpg
MH01-S-Orange;default_category_men_tops_hoodies_and_sweatshirts,default_category_collections_eco_friendly,default_category;1;MH01;top;"<p>Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.</p>
<p>&bull; Two-tone gray heather hoodie.<br />&bull; Drawstring-adjustable hood. <br />&bull; Machine wash/dry.</p>";Chaz Kangeroo Hoodie-S-Orange;chaz-kangeroo-hoodie-s-orange;;color_orange;;;;size_s;;;;52;;1;/m/h/mh01-orange_main.jpg;/m/h/mh01-orange_main.jpg;/m/h/mh01-orange_main.jpg
MH01-XL-Black;default_category_men_tops_hoodies_and_sweatshirts,default_category_collections_eco_friendly,default_category;1;MH01;top;"<p>Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.</p>
<p>&bull; Two-tone gray heather hoodie.<br />&bull; Drawstring-adjustable hood. <br />&bull; Machine wash/dry.</p>";Chaz Kangeroo Hoodie-XL-Black;chaz-kangeroo-hoodie-xl-black;;color_black;;;;size_xl;;;;52;;1;/m/h/mh01-black_main.jpg;/m/h/mh01-black_main.jpg;/m/h/mh01-black_main.jpg
MH01-XL-Gray;default_category_men_tops_hoodies_and_sweatshirts,default_category_collections_eco_friendly,default_category;1;MH01;top;"<p>Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.</p>
<p>&bull; Two-tone gray heather hoodie.<br />&bull; Drawstring-adjustable hood. <br />&bull; Machine wash/dry.</p>";Chaz Kangeroo Hoodie-XL-Gray;chaz-kangeroo-hoodie-xl-gray;;color_gray;;;;size_xl;;;;52;;1;/m/h/mh01-gray_main.jpg;/m/h/mh01-gray_main.jpg;/m/h/mh01-gray_main.jpg
MH01-XL-Orange;default_category_men_tops_hoodies_and_sweatshirts,default_category_collections_eco_friendly,default_category;1;MH01;top;"<p>Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.</p>
<p>&bull; Two-tone gray heather hoodie.<br />&bull; Drawstring-adjustable hood. <br />&bull; Machine wash/dry.</p>";Chaz Kangeroo Hoodie-XL-Orange;chaz-kangeroo-hoodie-xl-orange;;color_orange;;;;size_xl;;;;52;;1;/m/h/mh01-orange_main.jpg;/m/h/mh01-orange_main.jpg;/m/h/mh01-orange_main.jpg
MH01-XS-Black;default_category_men_tops_hoodies_and_sweatshirts,default_category_collections_eco_friendly,default_category;1;MH01;top;"<p>Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.</p>
<p>&bull; Two-tone gray heather hoodie.<br />&bull; Drawstring-adjustable hood. <br />&bull; Machine wash/dry.</p>";Chaz Kangeroo Hoodie-XS-Black;chaz-kangeroo-hoodie-xs-black;;color_black;;;;size_xs;;;;52;;1;/m/h/mh01-black_main.jpg;/m/h/mh01-black_main.jpg;/m/h/mh01-black_main.jpg
MH01-XS-Gray;default_category_men_tops_hoodies_and_sweatshirts,default_category_collections_eco_friendly,default_category;1;MH01;top;"<p>Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.</p>
<p>&bull; Two-tone gray heather hoodie.<br />&bull; Drawstring-adjustable hood. <br />&bull; Machine wash/dry.</p>";Chaz Kangeroo Hoodie-XS-Gray;chaz-kangeroo-hoodie-xs-gray;;color_gray;;;;size_xs;;;;52;;1;/m/h/mh01-gray_main.jpg;/m/h/mh01-gray_main.jpg;/m/h/mh01-gray_main.jpg
MH01-XS-Orange;default_category_men_tops_hoodies_and_sweatshirts,default_category_collections_eco_friendly,default_category;1;MH01;top;"<p>Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.</p>
<p>&bull; Two-tone gray heather hoodie.<br />&bull; Drawstring-adjustable hood. <br />&bull; Machine wash/dry.</p>";Chaz Kangeroo Hoodie-XS-Orange;chaz-kangeroo-hoodie-xs-orange;;color_orange;;;;size_xs;;;;52;;1;/m/h/mh01-orange_main.jpg;/m/h/mh01-orange_main.jpg;/m/h/mh01-orange_main.jpg
MH02-L-Black;default_category_men_tops_hoodies_and_sweatshirts;1;MH02;top;"<p>This Teton Pullover Hoodie gives you more than laid-back style. It's equipped with moisture-wicking fabric to keep light and dry inside, especially in chilly-weather workouts. An elasticized hem lets you move about freely.</p>
<p>&bull; Black pullover hoodie.<br />&bull; Soft, brushed interior. <br />&bull; Front hand pockets. <br />&bull; Machine wash/dry.</p>";Teton Pullover Hoodie-L-Black;teton-pullover-hoodie-l-black;;color_black;;;;size_l;;;;70;;1;/m/h/mh02-black_main.jpg;/m/h/mh02-black_main.jpg;/m/h/mh02-black_main.jpg
MH02-L-Purple;default_category_men_tops_hoodies_and_sweatshirts;1;MH02;top;"<p>This Teton Pullover Hoodie gives you more than laid-back style. It's equipped with moisture-wicking fabric to keep light and dry inside, especially in chilly-weather workouts. An elasticized hem lets you move about freely.</p>
<p>&bull; Black pullover hoodie.<br />&bull; Soft, brushed interior. <br />&bull; Front hand pockets. <br />&bull; Machine wash/dry.</p>";Teton Pullover Hoodie-L-Purple;teton-pullover-hoodie-l-purple;;color_purple;;;;size_l;;;;70;;1;/m/h/mh02-purple_main.jpg;/m/h/mh02-purple_main.jpg;/m/h/mh02-purple_main.jpg
MH02-L-Red;default_category_men_tops_hoodies_and_sweatshirts;1;MH02;top;"<p>This Teton Pullover Hoodie gives you more than laid-back style. It's equipped with moisture-wicking fabric to keep light and dry inside, especially in chilly-weather workouts. An elasticized hem lets you move about freely.</p>
<p>&bull; Black pullover hoodie.<br />&bull; Soft, brushed interior. <br />&bull; Front hand pockets. <br />&bull; Machine wash/dry.</p>";Teton Pullover Hoodie-L-Red;teton-pullover-hoodie-l-red;;color_red;;;;size_l;;;;70;;1;/m/h/mh02-red_main.jpg;/m/h/mh02-red_main.jpg;/m/h/mh02-red_main.jpg
MH02-M-Black;default_category_men_tops_hoodies_and_sweatshirts;1;MH02;top;"<p>This Teton Pullover Hoodie gives you more than laid-back style. It's equipped with moisture-wicking fabric to keep light and dry inside, especially in chilly-weather workouts. An elasticized hem lets you move about freely.</p>
<p>&bull; Black pullover hoodie.<br />&bull; Soft, brushed interior. <br />&bull; Front hand pockets. <br />&bull; Machine wash/dry.</p>";Teton Pullover Hoodie-M-Black;teton-pullover-hoodie-m-black;;color_black;;;;size_m;;;;70;;1;/m/h/mh02-black_main.jpg;/m/h/mh02-black_main.jpg;/m/h/mh02-black_main.jpg
MH02-M-Purple;default_category_men_tops_hoodies_and_sweatshirts;1;MH02;top;"<p>This Teton Pullover Hoodie gives you more than laid-back style. It's equipped with moisture-wicking fabric to keep light and dry inside, especially in chilly-weather workouts. An elasticized hem lets you move about freely.</p>
<p>&bull; Black pullover hoodie.<br />&bull; Soft, brushed interior. <br />&bull; Front hand pockets. <br />&bull; Machine wash/dry.</p>";Teton Pullover Hoodie-M-Purple;teton-pullover-hoodie-m-purple;;color_purple;;;;size_m;;;;70;;1;/m/h/mh02-purple_main.jpg;/m/h/mh02-purple_main.jpg;/m/h/mh02-purple_main.jpg
MH02-M-Red;default_category_men_tops_hoodies_and_sweatshirts;1;MH02;top;"<p>This Teton Pullover Hoodie gives you more than laid-back style. It's equipped with moisture-wicking fabric to keep light and dry inside, especially in chilly-weather workouts. An elasticized hem lets you move about freely.</p>
<p>&bull; Black pullover hoodie.<br />&bull; Soft, brushed interior. <br />&bull; Front hand pockets. <br />&bull; Machine wash/dry.</p>";Teton Pullover Hoodie-M-Red;teton-pullover-hoodie-m-red;;color_red;;;;size_m;;;;70;;1;/m/h/mh02-red_main.jpg;/m/h/mh02-red_main.jpg;/m/h/mh02-red_main.jpg
MH02-S-Black;default_category_men_tops_hoodies_and_sweatshirts;1;MH02;top;"<p>This Teton Pullover Hoodie gives you more than laid-back style. It's equipped with moisture-wicking fabric to keep light and dry inside, especially in chilly-weather workouts. An elasticized hem lets you move about freely.</p>
<p>&bull; Black pullover hoodie.<br />&bull; Soft, brushed interior. <br />&bull; Front hand pockets. <br />&bull; Machine wash/dry.</p>";Teton Pullover Hoodie-S-Black;teton-pullover-hoodie-s-black;;color_black;;;;size_s;;;;70;;1;/m/h/mh02-black_main.jpg;/m/h/mh02-black_main.jpg;/m/h/mh02-black_main.jpg
MH02-S-Purple;default_category_men_tops_hoodies_and_sweatshirts;1;MH02;top;"<p>This Teton Pullover Hoodie gives you more than laid-back style. It's equipped with moisture-wicking fabric to keep light and dry inside, especially in chilly-weather workouts. An elasticized hem lets you move about freely.</p>
<p>&bull; Black pullover hoodie.<br />&bull; Soft, brushed interior. <br />&bull; Front hand pockets. <br />&bull; Machine wash/dry.</p>";Teton Pullover Hoodie-S-Purple;teton-pullover-hoodie-s-purple;;color_purple;;;;size_s;;;;70;;1;/m/h/mh02-purple_main.jpg;/m/h/mh02-purple_main.jpg;/m/h/mh02-purple_main.jpg
MH02-S-Red;default_category_men_tops_hoodies_and_sweatshirts;1;MH02;top;"<p>This Teton Pullover Hoodie gives you more than laid-back style. It's equipped with moisture-wicking fabric to keep light and dry inside, especially in chilly-weather workouts. An elasticized hem lets you move about freely.</p>
<p>&bull; Black pullover hoodie.<br />&bull; Soft, brushed interior. <br />&bull; Front hand pockets. <br />&bull; Machine wash/dry.</p>";Teton Pullover Hoodie-S-Red;teton-pullover-hoodie-s-red;;color_red;;;;size_s;;;;70;;1;/m/h/mh02-red_main.jpg;/m/h/mh02-red_main.jpg;/m/h/mh02-red_main.jpg
